model_col,series_code,unit,freq,description,tags
baker_unitedstates_oil_horizontal_cana_woodford,baker.united states.oil.horizontal.cana_woodford,rigs,weekly,Baker Unitedstates Oil Horizontal Cana Woodford,baker
baker_unitedstates_oil_horizontal_dj_niobrara,baker.united states.oil.horizontal.dj-niobrara,rigs,weekly,Baker Unitedstates Oil Horizontal Dj Niobrara,baker
baker_unitedstates_oil_horizontal_eagle_ford,baker.united states.oil.horizontal.eagle_ford,rigs,weekly,Baker Unitedstates Oil Horizontal Eagle Ford,baker
baker_unitedstates_oil_horizontal_granite_wash,baker.united states.oil.horizontal.granite_wash,rigs,weekly,Baker Unitedstates Oil Horizontal Granite Wash,baker
baker_unitedstates_oil_horizontal_haynesville,baker.united states.oil.horizontal.haynesville,rigs,weekly,Baker Unitedstates Oil Horizontal Haynesville,baker
baker_unitedstates_oil_horizontal_marcellus,baker.united states.oil.horizontal.marcellus,rigs,weekly,Baker Unitedstates Oil Horizontal Marcellus,baker
baker_unitedstates_oil_horizontal_mississippian,baker.united states.oil.horizontal.mississippian,rigs,weekly,Baker Unitedstates Oil Horizontal Mississippian,baker
baker_unitedstates_oil_horizontal_other,baker.united states.oil.horizontal.other,rigs,weekly,Baker Unitedstates Oil Horizontal Other,baker
baker_unitedstates_oil_horizontal_permian,baker.united states.oil.horizontal.permian,rigs,weekly,Baker Unitedstates Oil Horizontal Permian,baker
baker_unitedstates_oil_horizontal_utica,baker.united states.oil.horizontal.utica,rigs,weekly,Baker Unitedstates Oil Horizontal Utica,baker
baker_unitedstates_oil_horizontal_williston,baker.united states.oil.horizontal.williston,rigs,weekly,Baker Unitedstates Oil Horizontal Williston,baker
baker_unitedstates_oil_other_other,baker.united states.oil.other.other,rigs,weekly,Baker Unitedstates Oil Other Other,baker
baker_unitedstates_oil_other_permian,baker.united states.oil.other.permian,rigs,weekly,Baker Unitedstates Oil Other Permian,baker
baker_unitedstates_oil_vertical_ardmore_woodford,baker.united states.oil.vertical.ardmore_woodford,rigs,weekly,Baker Unitedstates Oil Vertical Ardmore Woodford,baker
baker_unitedstates_oil_vertical_arkoma_woodford,baker.united states.oil.vertical.arkoma_woodford,rigs,weekly,Baker Unitedstates Oil Vertical Arkoma Woodford,baker
baker_unitedstates_oil_vertical_barnett,baker.united states.oil.vertical.barnett,rigs,weekly,Baker Unitedstates Oil Vertical Barnett,baker
baker_unitedstates_oil_vertical_cana_woodford,baker.united states.oil.vertical.cana_woodford,rigs,weekly,Baker Unitedstates Oil Vertical Cana Woodford,baker
baker_unitedstates_oil_vertical_dj_niobrara,baker.united states.oil.vertical.dj-niobrara,rigs,weekly,Baker Unitedstates Oil Vertical Dj Niobrara,baker
baker_unitedstates_oil_vertical_eagle_ford,baker.united states.oil.vertical.eagle_ford,rigs,weekly,Baker Unitedstates Oil Vertical Eagle Ford,baker
baker_unitedstates_oil_vertical_fayetteville,baker.united states.oil.vertical.fayetteville,rigs,weekly,Baker Unitedstates Oil Vertical Fayetteville,baker
baker_unitedstates_oil_vertical_granite_wash,baker.united states.oil.vertical.granite_wash,rigs,weekly,Baker Unitedstates Oil Vertical Granite Wash,baker
baker_unitedstates_oil_vertical_haynesville,baker.united states.oil.vertical.haynesville,rigs,weekly,Baker Unitedstates Oil Vertical Haynesville,baker
baker_unitedstates_oil_vertical_marcellus,baker.united states.oil.vertical.marcellus,rigs,weekly,Baker Unitedstates Oil Vertical Marcellus,baker
baker_unitedstates_oil_vertical_mississippian,baker.united states.oil.vertical.mississippian,rigs,weekly,Baker Unitedstates Oil Vertical Mississippian,baker
baker_unitedstates_oil_vertical_other,baker.united states.oil.vertical.other,rigs,weekly,Baker Unitedstates Oil Vertical Other,baker
baker_unitedstates_oil_vertical_permian,baker.united states.oil.vertical.permian,rigs,weekly,Baker Unitedstates Oil Vertical Permian,baker
baker_unitedstates_oil_vertical_utica,baker.united states.oil.vertical.utica,rigs,weekly,Baker Unitedstates Oil Vertical Utica,baker
baker_unitedstates_oil_vertical_williston,baker.united states.oil.vertical.williston,rigs,weekly,Baker Unitedstates Oil Vertical Williston,baker
baker.us.total.total.total,baker.us.total.total.total,rigs,weekly,Baker Hughes weekly total rig count for United States,
crude_runs_to_refineries,PET.WCRRIUS2.W,Thousand Barrels per Day,weekly,Crude runs to refineries,eia
cushing_crude_stocks,PET.WCSSTUS1.W,Thousand Barrels,weekly,Cushing crude stocks,eia
east_coast_to_gulf_coast_crude_oil_movements,PET.W_EPC0_SAX_R10-R30_MBBLD.W,Thousand Barrels per Day,weekly,East Coast to Gulf Coast crude oil movements,eia
ending_commercial_crude_stocks,PET.WCESTUS1.W,Thousand Barrels,weekly,Ending commercial crude stocks,eia
field_production_of_crude,PET.WCRFPUS2.W,Thousand Barrels per Day,weekly,Field production of crude,eia
google_mobility_united_states_alabama_grocery,google_mobility.united_states.alabama.grocery,index,daily,Google Mobility United States Alabama Grocery,"google,mobility"
google_mobility_united_states_alabama_parks,google_mobility.united_states.alabama.parks,index,daily,Google Mobility United States Alabama Parks,"google,mobility"
google_mobility_united_states_alabama_residential,google_mobility.united_states.alabama.residential,index,daily,Google Mobility United States Alabama Residential,"google,mobility"
google_mobility_united_states_alabama_retail,google_mobility.united_states.alabama.retail,index,daily,Google Mobility United States Alabama Retail,"google,mobility"
google_mobility_united_states_alabama_transit,google_mobility.united_states.alabama.transit,index,daily,Google Mobility United States Alabama Transit,"google,mobility"
google_mobility_united_states_alabama_work,google_mobility.united_states.alabama.work,index,daily,Google Mobility United States Alabama Work,"google,mobility"
google_mobility_united_states_alaska_grocery,google_mobility.united_states.alaska.grocery,index,daily,Google Mobility United States Alaska Grocery,"google,mobility"
google_mobility_united_states_alaska_parks,google_mobility.united_states.alaska.parks,index,daily,Google Mobility United States Alaska Parks,"google,mobility"
google_mobility_united_states_alaska_residential,google_mobility.united_states.alaska.residential,index,daily,Google Mobility United States Alaska Residential,"google,mobility"
google_mobility_united_states_alaska_retail,google_mobility.united_states.alaska.retail,index,daily,Google Mobility United States Alaska Retail,"google,mobility"
google_mobility_united_states_alaska_transit,google_mobility.united_states.alaska.transit,index,daily,Google Mobility United States Alaska Transit,"google,mobility"
google_mobility_united_states_alaska_work,google_mobility.united_states.alaska.work,index,daily,Google Mobility United States Alaska Work,"google,mobility"
google_mobility_united_states_arizona_grocery,google_mobility.united_states.arizona.grocery,index,daily,Google Mobility United States Arizona Grocery,"google,mobility"
google_mobility_united_states_arizona_parks,google_mobility.united_states.arizona.parks,index,daily,Google Mobility United States Arizona Parks,"google,mobility"
google_mobility_united_states_arizona_residential,google_mobility.united_states.arizona.residential,index,daily,Google Mobility United States Arizona Residential,"google,mobility"
google_mobility_united_states_arizona_retail,google_mobility.united_states.arizona.retail,index,daily,Google Mobility United States Arizona Retail,"google,mobility"
google_mobility_united_states_arizona_transit,google_mobility.united_states.arizona.transit,index,daily,Google Mobility United States Arizona Transit,"google,mobility"
google_mobility_united_states_arizona_work,google_mobility.united_states.arizona.work,index,daily,Google Mobility United States Arizona Work,"google,mobility"
google_mobility_united_states_arkansas_grocery,google_mobility.united_states.arkansas.grocery,index,daily,Google Mobility United States Arkansas Grocery,"google,mobility"
google_mobility_united_states_arkansas_parks,google_mobility.united_states.arkansas.parks,index,daily,Google Mobility United States Arkansas Parks,"google,mobility"
google_mobility_united_states_arkansas_residential,google_mobility.united_states.arkansas.residential,index,daily,Google Mobility United States Arkansas Residential,"google,mobility"
